ID	Date	Box_code	Density	Sex_true	Sex_predicted	Disp	Time_sec	Active	Height	Diametre	PeristomeH
B2_89_D10_R1	12/06/2017	7	10	M	M	yes	552	1	12.8	10.2	6.2
B2_90_D10_R1	12/06/2017	7	10	F	F	yes	318	1	13.7	10.3	6.6
B2_91_D10_R1	12/06/2017	7	10	F	F	yes	842	1	14.1	10.6	6.5
B2_92_D10_R1	12/06/2017	7	10	M	F	yes	7200	0	13.3	10.3	6.5
B2_93_D10_R1	12/06/2017	7	10	M	M	yes	7200	0	12.4	10.1	6.1
B2_94_D10_R2	12/06/2017	6	10	F	F	no	567	1	14.5	11.2	6.5
B2_95_D10_R2	12/06/2017	6	10	F	M	no	7200	0	12.7	10.1	6.3
B2_96_D10_R2	12/06/2017	6	10	F	F	no	7200	0	13.4	10.1	6.4
B2_97_D10_R2	12/06/2017	6	10	M	M	no	7200	0	13.1	9.8	5.7
B2_98_D10_R2	12/06/2017	6	10	M	M	no	7200	0	12.9	9.8	6.1
B2_99_D10_R2	12/06/2017	6	10	F	F	no	7200	0	14.7	11.2	6.5
B3_113_D10_R2	12/06/2017	6	10	M	F	yes	541	1	13.6	10.3	6.2
B3_115_D10_R2	12/06/2017	6	10	M	F	no	430	1	13.4	10.2	6.2
B3_116_D10_R2	12/06/2017	6	10	M	M	yes	223	1	12.4	9.7	5.7
B3_122_D10_R2	12/06/2017	6	10	M	M	no	209	1	12.9	10.3	6.2
B6_275_D10_R3	22/06/2017	13	10	M	F	no	195	1	13.9	10.6	6.3
B6_276_D10_R3	22/06/2017	13	10	F	M	no	762	1	13.2	9.8	5.9
B6_277_D10_R3	22/06/2017	13	10	M	M	no	350	1	12.4	9.5	5.7
B6_278_D10_R3	22/06/2017	13	10	M	M	yes	526	1	12.9	9.5	6.1
B6_279_D10_R3	22/06/2017	13	10	F	M	yes	210	1	13.2	10.2	6.3
B6_280_D10_R3	22/06/2017	13	10	M	F	yes	635	1	12.2	9.1	5.7
B6_281_D10_R3	22/06/2017	13	10	F	F	no	295	1	14.1	10.8	6.5
B6_282_D10_R3	22/06/2017	13	10	M	F	yes	333	1	13.7	10.7	6.6
B6_283_D10_R3	22/06/2017	13	10	F	F	yes	680	1	14.1	10.7	6.5
B6_284_D10_R3	22/06/2017	13	10	F	F	yes	385	1	13.8	10.7	6.4
B5_226_D10_R4	22/06/2017	24	10	F	F	yes	225	1	14.4	11.1	6.6
B5_227_D10_R4	22/06/2017	24	10	F	F	yes	540	1	14.5	11.1	6.7
B5_228_D10_R4	22/06/2017	24	10	M	M	yes	208	1	12.2	9.3	5.8
B5_229_D10_R	22/06/2017	24	10	M	M	yes	510	1	12.4	9.4	6.1
B5_230_D10_R4	22/06/2017	24	10	F	F	no	433	1	14.1	10.6	6.4
B5_231_D10_R4	22/06/2017	24	10	M	M	no	800	1	12.8	9.7	6.1
B5_232_D10_R4	22/06/2017	24	10	F	F	no	360	1	13.7	10.4	6.5
B5_233_D10_R4	22/06/2017	24	10	M	M	no	7200	0	13.4	9.8	6.1
B5_234_D10_R4	22/06/2017	24	10	M	F	no	570	1	13.5	9.9	6.1
B5_235_10_R4	22/06/2017	24	10	M	M	no	540	1	12.3	9.3	5.9
B4_171_D15_R1	16/06/2017	8	15	M	M	no	7200	0	12.8	10.1	6.1
B4_172_D15_R1	16/06/2017	8	15	F	F	no	622	1	14.1	10.7	6.4
B4_173_D15_R1	16/06/2017	8	15	F	F	no	304	1	14.4	10.8	6.5
B4_174_D15_R1	16/06/2017	8	15	M	M	no	7200	0	13.1	10.2	6.1
B4_175_D15_R1	16/06/2017	8	15	M	M	no	587	1	12.6	9.9	6.1
B4_176_D15_R1	16/06/2017	8	15	F	F	no	265	1	14.1	11.1	6.3
B4_177_D15_R1	16/06/2017	8	15	F	M	no	7200	0	12.4	9.5	5.8
B4_178_D15_R1	16/06/2017	8	15	M	M	no	7200	0	12.6	9.5	6.1
B4_179_D15_R1	16/06/2017	8	15	M	M	no	316	1	12.5	9.6	5.8
B4_180_D15_R1	16/06/2017	8	15	M	M	yes	234	1	11.8	8.8	5.7
B4_181_D15_R1	16/06/2017	8	15	F	F	yes	340	1	13.6	10.6	6.4
B4_182_D15_R1	16/06/2017	8	15	M	F	yes	7200	0	13.3	10.3	6.1
B4_183_D15_R1	16/06/2017	8	15	F	F	yes	308	1	14.4	11.3	6.8
B4_184_D15_R1	16/06/2017	8	15	F	F	yes	234	1	14.1	10.7	6.4
B4_185_D15_R1	16/06/2017	8	15	M	F	yes	7200	0	13.7	10.5	6.4
B6_285_D15_R2	22/06/2017	11	15	F	F	no	7200	0	14.1	10.7	6.3
