uniqueID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	area	Shell_Mass
109	1.430322e-02	-6.281592e-03	-5.620278e-03	4.075254e-03	9.600656e-04	-2.773674e-03	3.146065e-04	1.228683e-03	71.902745002	139.2
110	5.208899e-06	6.793186e-04	-1.059860e-02	-7.551517e-03	-1.030809e-03	-3.034149e-03	-3.751031e-03	-3.865402e-03	83.847173971	156.4
111	1.679851e-02	-1.176686e-02	-1.444833e-02	-1.317531e-03	8.573305e-03	9.004203e-03	-7.716497e-03	1.916687e-03	70.5031461695	126.6
113	-1.400031e-02	-1.372379e-02	1.435470e-02	-1.935273e-02	9.016508e-04	-9.606488e-04	-7.256131e-03	-9.274161e-04	79.5055205097	154.1
114	4.403472e-04	4.154777e-03	-1.924243e-02	4.324089e-03	2.814160e-03	-3.240682e-03	-3.688259e-03	1.866362e-03	71.1322801597	136.2
115	-1.932754e-02	-8.240550e-03	-1.106882e-02	7.996996e-03	7.592023e-03	-1.854687e-03	-9.513558e-05	-2.666250e-04	80.222768715	138.6
116	9.908931e-03	2.900815e-02	1.116854e-04	-2.497811e-02	3.068682e-03	-3.828032e-03	1.363658e-06	-4.368142e-03	67.3995965041	111.5
117	-8.097470e-04	-4.678694e-03	7.228174e-03	1.644968e-03	-4.292604e-03	-3.024233e-03	-9.131011e-04	4.025166e-04	78.4276885072	138.7
118	-4.531064e-02	3.720643e-02	4.496786e-02	-1.368713e-03	-1.662436e-02	-5.450738e-04	2.679415e-03	-4.773536e-03	80.1229671333	154.8
119	-5.516746e-03	3.172541e-02	1.639830e-02	2.966273e-02	-2.471877e-03	2.512554e-02	-3.776477e-03	3.821539e-03	67.6395038085	103.6
120	-2.125377e-02	-1.607257e-03	-4.266079e-03	-9.656767e-03	2.453342e-03	-1.223071e-03	-3.597325e-03	-1.909484e-03	72.3929921364	151.6
121	2.686572e-02	2.627710e-02	-1.142751e-02	3.286775e-03	-1.274532e-03	4.459377e-03	-5.739236e-03	5.997749e-03	75.1596667224	157.3
122	3.373501e-02	-1.562980e-02	4.657168e-02	3.680508e-02	3.551221e-02	2.155993e-02	1.645329e-02	1.213227e-03	74.2766779053	138.5
123	-3.182265e-02	-1.042909e-02	1.757679e-02	-8.371110e-03	9.063502e-03	-7.546390e-03	-1.093988e-04	1.613080e-04	80.928904694	140.6
124	-2.555454e-02	2.048725e-03	9.631277e-03	-1.475923e-03	6.309347e-04	-5.658663e-03	2.580830e-03	4.245275e-04	82.04006319	NA
125	6.626943e-04	2.883742e-02	-1.593955e-03	-2.444940e-02	-5.601643e-03	-8.466923e-03	5.677125e-03	1.001085e-02	75.193115876	NA
126	1.161530e-02	9.079060e-03	-3.932250e-03	1.338757e-02	-7.899050e-03	4.316571e-03	-1.063378e-02	-1.228511e-04	67.4104001985	198.9
129	3.768938e-02	1.015325e-02	-1.686517e-02	2.781003e-02	-1.531454e-02	5.122827e-04	-5.418264e-03	-4.182432e-03	67.887673953	124.1
130	-3.257408e-02	-1.819915e-02	-8.854639e-03	-1.903888e-03	-6.692003e-03	1.418796e-03	-2.415741e-03	-8.236719e-04	76.68154746	124.5
131	1.527799e-02	7.207299e-03	3.001653e-03	-1.038547e-02	6.879136e-04	5.855575e-03	-3.581796e-03	-4.564669e-03	69.0826575915	121.6
132	-3.523445e-02	2.446305e-03	6.829535e-04	2.233213e-02	7.491779e-03	1.098838e-02	1.094609e-02	-4.912317e-03	87.187786161	143.9
133	2.713777e-02	-7.891712e-03	-5.010881e-03	-7.861202e-04	2.751213e-03	-8.980488e-03	2.442159e-03	1.340346e-03	67.1446618395	131.1
134	-3.225610e-02	-2.855586e-03	8.549555e-04	1.594537e-03	7.416793e-04	-4.843166e-03	3.184720e-03	2.607421e-03	79.9760691975	154.1
135	1.510377e-02	9.175713e-03	6.087685e-03	1.930433e-02	-8.575988e-03	1.507174e-03	-4.913219e-03	1.380861e-03	64.1301060372	123.3
136	-2.292871e-02	4.763687e-03	-1.102620e-02	6.098714e-03	1.159956e-02	3.535375e-03	-9.116514e-03	2.230134e-03	94.1328597258	186.8
138	-3.055023e-02	-2.100420e-02	-3.152400e-04	-1.133548e-02	9.402777e-03	1.803136e-03	-3.010146e-03	1.960158e-04	80.2967701354	140.2
139	4.108448e-02	1.889792e-03	1.895839e-02	2.085676e-03	-1.257102e-02	1.057146e-02	-9.186113e-03	4.258044e-03	60.5589791632	92.7
140	-3.299021e-02	1.916861e-02	-1.846353e-02	1.060154e-02	7.630126e-03	9.192022e-04	1.310951e-02	3.793257e-04	82.9900978074	169.9
141	1.023265e-02	-8.151773e-03	-1.391303e-02	-1.260054e-02	6.865246e-03	-5.589700e-03	1.659153e-03	1.601561e-02	78.605768238	152.5
142	1.451255e-02	-2.355055e-02	8.577517e-03	-1.301573e-03	7.042846e-03	2.112628e-03	-7.488043e-03	7.947193e-03	58.80494394	121
143	-1.572721e-02	-2.981395e-02	-1.382719e-02	-1.642029e-03	-1.765004e-02	4.225914e-03	-9.260793e-05	-1.566491e-04	71.569980192	100.8
145	4.473292e-03	-2.038560e-05	-1.917242e-02	1.461813e-02	-1.900121e-02	4.534222e-03	-3.970302e-03	-2.550765e-03	85.555992126	190.9
146	-2.285255e-02	1.843881e-02	6.712349e-03	6.706001e-03	2.397282e-03	-7.952543e-03	2.017643e-03	-1.031660e-03	59.206846956	121.9
147	-3.281115e-02	1.226548e-02	5.507554e-03	2.303425e-03	6.254136e-03	-1.220587e-03	-2.370824e-04	2.955146e-03	87.4350127332	213.7
148	-3.324898e-03	3.108055e-03	2.425919e-02	1.264514e-03	1.702181e-03	-8.489908e-03	-6.197973e-03	3.261734e-03	66.8441821872	121.6
149	9.119462e-03	-1.873194e-02	-3.287129e-03	-1.089577e-02	-3.282297e-03	8.266097e-04	9.337868e-03	1.197371e-03	82.8284302164	165.5
150	-3.055527e-02	2.646447e-02	2.541059e-02	1.262252e-02	2.419627e-03	-1.531289e-03	4.157361e-03	-7.726138e-04	71.2187404236	167.5
151	-6.041980e-02	2.141079e-02	1.263877e-02	6.744602e-03	-3.043439e-03	6.848817e-03	9.249224e-03	-8.790802e-04	83.824239972	139.0
152	2.474205e-02	-2.051903e-02	1.022675e-02	-1.721141e-02	6.173967e-03	-2.509503e-03	8.633841e-03	3.358789e-03	66.7705137792	120.8
154	1.334059e-02	3.245581e-03	-2.985337e-02	4.240274e-03	1.126720e-02	-5.013797e-03	-4.250483e-03	1.330979e-03	96.2637033732	223.9
155	9.515280e-03	-1.550649e-03	1.445633e-02	1.671105e-02	1.529777e-02	-7.741210e-03	-1.440014e-03	-1.186778e-03	93.4786484874	143.4
156	2.584557e-02	3.699615e-03	4.639028e-03	7.520549e-03	-8.779190e-03	4.338309e-04	2.652582e-03	-1.167613e-03	70.3616662848	114.7
157	-1.716551e-02	-2.009594e-03	3.969772e-03	3.385267e-03	1.390467e-03	4.732502e-03	-1.169019e-02	1.768699e-03	76.6535969472	127.9
158	-3.931787e-02	5.943665e-03	2.134247e-02	-3.186501e-05	2.016656e-03	4.840913e-03	1.445043e-03	2.801043e-03	60.904293296	112.3
159	-1.243861e-02	2.049280e-03	-1.674945e-02	6.091314e-03	4.867361e-03	-3.019359e-03	5.455528e-04	1.773091e-03	66.0951771172	120.9
160	2.065500e-03	-8.398204e-03	9.083256e-03	4.954560e-03	-4.875529e-03	-3.073278e-03	-1.512537e-03	6.855314e-04	77.7581156352	133.6
