ID	Date	Days	Week	Box_code	Density	Sex_true	Sex_predicted	Disp	Dispersal_matrix	Time_sec	Active	Height	Diametre	PeristomeH
B3_121_D20_R1	12/06/17	10	1	5	20	M	M	no	0	251	1	13.1	9.9	6.1
B3_123_D20_R1	12/06/17	10	1	5	20	F	F	yes	3	255	1	13.6	10.6	6.3
B4_186_D20_R2	16/06/17	14	2	7	20	M	M	yes	3	7200	0	12.5	9.3	5.9
B4_187_D20_R2	16/06/17	14	2	7	20	F	M	yes	3	7200	0	12.9	10.1	6.1
B4_188_D20_R2	16/06/17	14	2	7	20	F	M	yes	3	7200	0	13.8	10.5	6.2
B4_189_D20_R2	16/06/17	14	2	7	20	F	F	yes	3	303	1	14.1	10.6	6.9
B4_190_D20_R2	16/06/17	14	2	7	20	M	M	yes	3	267	1	12.6	9.4	6.2
B4_191_D20_R2	16/06/17	14	2	7	20	M	M	yes	3	7200	0	12.6	9.2	5.6
B4_192_D20_R2	16/06/17	14	2	7	20	F	F	yes	3	7200	0	13.9	10.4	6.4
B4_193_D20_R2	16/06/17	14	2	7	20	F	F	yes	3	170	1	14.3	10.8	6.9
B4_194_D20_R2	16/06/17	14	2	7	20	F	F	yes	3	7200	0	14.1	11.1	6.8
B4_195_D20_R2	16/06/17	14	2	7	20	F	F	yes	3	7200	0	13.8	10.3	6.1
B4_196_D20_R2	16/06/17	14	2	7	20	F	F	yes	3	7200	0	14.3	10.7	6.5
B4_197_D20_R2	16/06/17	14	2	7	20	M	F	yes	3	7200	0	13.5	10.1	6.5
B4_198_D20_R2	16/06/17	14	2	7	20	M	M	no	0	485	1	13.1	9.7	6.2
B4_199_D20_R2	16/06/17	14	2	7	20	F	M	no	0	7200	0	13.2	10.2	6.1
B4_200_D20_R2	16/06/17	14	2	7	20	M	M	no	0	7200	0	12.9	9.8	6.1
B5_201_D20_R2	16/06/17	14	2	7	20	F	F	no	0	7200	0	14.2	10.5	6.5
B5_202_D20_R2	16/06/17	14	2	7	20	M	F	no	0	508	1	13.5	10.3	6.4
B5_203_D20_R2	16/06/17	14	2	7	20	F	F	no	0	443	1	14.3	11.1	6.5
B5_204_D20_R2	16/06/17	14	2	7	20	M	M	no	0	7200	0	12.5	9.5	6.1
B5_205_D20_R2	16/06/17	14	2	7	20	M	M	no	0	7200	0	13.2	10.2	6.1
B5_206_D20_R3	16/06/17	14	2	6	20	F	F	yes	3	783	1	14.1	10.5	6.4
B5_207_D20_R3	16/06/17	14	2	6	20	F	F	yes	3	310	1	14.1	10.6	6.4
B5_208_D20_R3	16/06/17	14	2	6	20	F	M	yes	3	549	1	13.5	10.7	6.2
B5_209_D20_R3	16/06/17	14	2	6	20	M	M	yes	3	600	1	12.9	9.4	5.8
B5_210_D20_R3	16/06/17	14	2	6	20	F	F	yes	3	182	1	14.1	11.1	6.6
B5_211_D20_R3	16/06/17	14	2	6	20	F	M	no	0	327	1	12.3	10.1	6.1
B5_212_D20_R3	16/06/17	14	2	6	20	F	F	no	0	302	1	13.7	10.2	6.2
B5_213_D20_R3	16/06/17	14	2	6	20	M	M	no	0	374	1	12.6	9.5	6.1
B5_214_D20_R3	16/06/17	14	2	6	20	M	M	no	0	380	1	13.3	10.3	6.4
B5_215_D20_R3	16/06/17	14	2	6	20	F	M	no	0	494	1	13.2	9.7	6.2
B5_216_D20_R3	16/06/17	14	2	6	20	M	M	no	0	195	1	12.8	10.1	6.3
B5_217_D20_R3	16/06/17	14	2	6	20	F	F	no	0	392	1	14.1	10.5	6.3
B5_218_D20_R3	16/06/17	14	2	6	20	F	F	no	0	322	1	13.8	10.6	6.4
B5_219_D20_R3	16/06/17	14	2	6	20	M	F	no	0	300	1	13.8	10.3	6.4
B5_220_D20_R3	16/06/17	14	2	6	20	F	F	no	0	285	1	12.6	9.7	6.1
B5_221_D20_R3	16/06/17	14	2	6	20	M	M	no	0	7200	0	13.2	10.2	5.9
B5_222_D20_R3	16/06/17	14	2	6	20	F	F	no	0	7200	0	13.8	10.3	6.1
B5_223_D20_R3	16/06/17	14	2	6	20	M	M	no	0	587	1	13.1	9.9	5.9
B5_224_D20_R3	16/06/17	14	2	6	20	M	M	no	0	7200	0	12.1	9.2	5.8
B5_225_D20_R3	16/06/17	14	2	6	20	F	F	no	0	7200	0	13.3	9.8	6.3
B6_343_D30_R1	26/06/17	24	3	22	30	M	F	no	0	300	1	13.7	10.4	6.1
B6_344_D30_R1	26/06/17	24	3	22	30	M	F	no	0	7200	0	13.3	10.2	6.5
B6_315_D30_R1	26/06/17	24	3	22	30	M	M	no	0	7200	0	12.5	9.6	6.1
B6_316_D30_R1	26/06/17	24	3	22	30	M	M	no	0	7200	0	12.1	9.1	5.9
B6_317_D30_R1	26/06/17	24	3	22	30	M	F	no	0	7200	0	13.3	10.3	6.1
B6_318_D30_R1	26/06/17	24	3	22	30	M	M	no	0	7200	0	12.5	9.4	5.7
B6_319_D30_R1	26/06/17	24	3	22	30	F	M	no	0	282	1	12.9	10.1	6.2
B6_320_D30_R1	26/06/17	24	3	22	30	M	M	no	0	7200	0	12.4	9.7	5.9
B6_321_D30_R1	26/06/17	24	3	22	30	F	M	no	0	7200	0	13.1	9.8	6.1
B6_322_D30_R1	26/06/17	24	3	22	30	F	F	no	0	7200	0	13.7	10.4	6.2
B6_323_D30_R1	26/06/17	24	3	22	30	F	F	no	0	7200	0	13.6	10.2	6.3
B6_324_D30_R1	26/06/17	24	3	22	30	F	M	no	0	7200	0	13.1	10.1	6.1
B6_325_D30_R1	26/06/17	24	3	22	30	F	F	no	0	398	1	13.8	10.2	6.4
B6_326_D30_R1	26/06/17	24	3	22	30	M	M	no	0	7200	0	12.7	10.1	5.9
B6_327_D30_R1	26/06/17	24	3	22	30	M	F	no	0	7200	0	13.6	10.4	6.4
B6_328_D30_R1	26/06/17	24	3	22	30	M	M	no	0	7200	0	12.1	8.8	5.9
B6_329_D30_R1	26/06/17	24	3	22	30	M	F	no	0	7200	0	13.5	10.6	6.1
B6_330_D30_R1	26/06/17	24	3	22	30	M	M	no	0	7200	0	12.9	10.1	6.1
B6_331_D30_R1	26/06/17	24	3	22	30	M	M	yes	3	744	1	13.2	10.2	6.3
B6_332_D30_R1	26/06/17	24	3	22	30	M	M	yes	3	7200	0	13.2	10.1	6.2
B6_333_D30_R1	26/06/17	24	3	22	30	M	F	yes	3	875	1	13.7	10.3	6.1
B6_334_D30_R1	26/06/17	24	3	22	30	F	M	yes	3	320	1	13.1	10.2	6.1
B6_335_D30_R1	26/06/17	24	3	22	30	M	M	yes	3	920	1	13.1	9.9	6.1
B6_336_D30_R1	26/06/17	24	3	22	30	F	F	yes	3	7200	0	13.9	10.9	6.6
B6_337_D30_R1	26/06/17	24	3	22	30	F	F	yes	3	923	1	14.1	11.1	6.6
B6_338_D30_R1	26/06/17	24	3	22	30	M	F	yes	3	7200	0	13.4	10.3	6.2
B6_339_D30_R1	26/06/17	24	3	22	30	M	M	yes	3	492	1	13.2	10.1	6.2
B6_340_D30_R1	26/06/17	24	3	22	30	F	F	yes	3	601	1	14.1	10.6	6.3
B6_341_D30_R1	26/06/17	24	3	22	30	F	F	yes	3	7200	0	13.3	10.4	6.3
B6_342_D30_R1	26/06/17	24	3	22	30	M	F	yes	3	7200	0	13.2	10.2	6.3
B6_345_D30_R2	26/06/17	24	3	23	30	M	M	yes	3	7200	0	12.9	9.9	6.1
